root,definition
['ἀγ/'],"['ἄγω', 'ἄξω', 'ἤγαγον', 'ἦχα', 'ἦγμαι', 'ἤχθην']"
"['ἀν/', 'αγ/']",['ἀπαγ']
"['εἰσ/', 'αγ/']","['ἐσαγ', 'περιαγ', 'προαγ']"
['ἀγ/'],"['ἄγνυμι', 'ἄξω', 'ἔαξα', 'ἔαγαἔηγα', 'ἔαγμαι', 'ἐάγην']"
['ἀγγελ/'],"['ἄγγελλω', 'ἀγγελέω', 'ἤγγειλα', 'ἤγγελκα', 'ἤγγελμαι', 'ἠγγέλθην']"
['ἄγγελο/'],"['ἄγγελος', 'ἀγγέλου']"
['ἄγγεσ/'],"['ἄγγος', 'ἄγγεοςἄγγους']"
['ἀγγήιο/'],['ἄγγεσ']
['ἀγερ/'],"['ἀγείρω', 'ἀγερέω', 'ἤγειρα', 'ἠγέρθην']"
['ἀγορά/'],"['ἀγορήἀγορά', 'ἀγορῆςἀγορᾶς']"
"['κατ/', 'ηγορε/']","['κατηγορεω', 'κατηγορησω', 'κατηγορησα', 'κατηγορηκα', 'κατηγορημαι', 'κατηγορηθην']"
['ἀγρό/'],"['ἀγρός', 'ἀγροῦ']"
['ἀγών/'],"['ἀγών', 'ἀγῶνος']"
['ἀγωνιδ/'],"['ἀγωνίζομαι', 'ἀγωνίσομαιἀγωνιέομαι', 'ἠγωνισάμην', 'ἠγώνισμαι', 'ἠγωνίσθην']"
"['ἁδ/', 'σϝαδ/']","['ἥδομαι', 'ἡσθήσομαι', 'ἡσάμην', 'ἥσθην']"
['ἄσμενο/'],"['ἄσμενος', 'ἀσμένη', 'ἄσμενον']"
['ἡδονά/'],"['ἡδονή', 'ἡδονῆς']"
['ἀδελφεό/'],"['ἀδελφεός', 'ἀδελφεοῦ']"
['ἀδελφό/'],"['ἀδελφός', 'ἀδελφοῦ']"
"['ἄεθλο/', 'ἆθλο/']","['ἄεθλονἆθλον', 'ἀέθλουἄθλου']"
"['ἀεθλε/', 'ἀθλε/']","['ἀθλέω', 'ἤθλησα', 'ἤθληκα', 'ἤθλημαι']"
"['ἀερ/', 'ἀρ/']","['ἀείρωαἴρω', 'ἀρέω', 'ἤειραἦρα', 'ἦρκα', 'ἤερμαιἦρμαι', 'ἠέρθηνἤρθην']"
['Ἀίδα/'],"['ἈίδηςἍιδης', 'Ἀίδαο', 'ἈίδεωἍιδου']"
['αἰδός/'],"['αἰδώς', 'αἰδόοςαἰδοῦς']"
['αἰδε/'],"['αἰδέομαι', 'αἰδέσομαι', 'ἤδεσμαι', 'ᾐδέσθην']"
['ἀναιδεία/'],"['ἀναιδείηἀναιδεία', 'ἀναιδείηςἀναιδείας']"
['αἰνε/'],"['αἰνέω', 'αἰνέσω', 'ᾔνεσα', 'ᾔνεκα', 'ᾔνημαι', 'ᾐνέθην']"
['αἱρε/'],"['αἱρέω', 'αἱρήσω', 'εἷλον', 'ᾕρηκα', 'ᾕρημαι', 'ᾑρέθην']"
['ἐξαίρεσι/'],"['ἐξαίρεσις', 'ἐξαιρέσεως']"
['ἐξαιρετό/'],"['ἐξαιρετός', 'ἐξαιρετή', 'ἐξαιρετόν']"
['αἰσθ/'],"['αισθάνομαι', 'αισθήσομαι', 'ἠσθόμην', 'ἤσθημαι']"
['αἰσχ/'],"['αἰσχυνω', 'αἰσχυνέω', 'ἤσχυνα', 'ἤσχυμμαι', 'ἠισχύθην']"
['αἰσχυνα/'],"['αἰσχύνη', 'αἰσχύνης']"
['αἰτία/'],"['αἰτίηαἰτία', 'αἰτίηςαἰτίας']"
['ἀκολουθε/'],"['ἀκολουθέω', 'ἀκολουθήσω', 'ἠκολούθησα']"
"['ἀκου/', 'ἀκοϝ/']","['ἀκούω', 'ἀκούσομαι', 'ἤκουσα', 'ἀκήκοα', 'ἠκούσθην']"
['ἀκοά/'],"['ἀκοή', 'ἀκοῆς']"
['ἀκριβέσ/'],"['ἀκριβής', 'ἀκριβές']"
['ἄκρο/'],"['ἄκρον', 'ἄκρου']"
['ἄκρα/'],"['ἄκρηἄκρα', 'ἄκρηςἄκρας']"
"['ἁλ/', 'ἁλο/']","['αλίσκομαι', 'αλώσομαι', 'εάλων', 'εάλωκα']"
['ἀλεξ/'],"['ἀλέξω', 'ἀλέξω', 'ἤλεξα']"
"['ἀλειφ/', 'ἀλιφ/']","['ἀλείφω', 'ἀλείψω', 'ἤλειψα', 'ἀλήλιφα', 'ἀλήλιμμαι', 'ἠλείφθην']"
['ἁλεσ/'],"['ἁλής', 'ἁλές']"
['ἁλιδ/'],"['ἁλίζω', 'ἁλίξομαι', 'ἥλισα', 'ἅλισμαι', 'ἡλίσθην']"
['ἄλλο/'],"['ἄλλος', 'ἄλλη', 'ἄλλο']"
"['ἀπ/', 'αλλαγ/']","['ἀπαλλάσσωἀπαλλάττω', 'ἀπαλλάξω', 'ἀπήλλαξα', 'ἀπήλλαχα', 'ἀπάλλαγμαιἀπήλλαγμαι', 'ἀπηλλάχθηνἀπηλλάγην']"
['ἀπαλλαγά/'],"['ἀπαλλαγή', 'ἀπαλλαγής']"
['ἀλλήλο/'],"['ἀλλήλων', 'ἀλλήλων', 'ἀλλήλων']"
['ἀλλοίο/'],"['ἀλλοῖος', 'ἀλλοίηἀλλοία', 'ἀλλοῖον']"
['ἀλλοιότερο/'],"['ἀλλοιότερος', 'ἀλλοιότερα', 'ἀλλοιότερον']"
['ἀλλότριο/'],"['ἀλλότριος', 'ἀλλοτρίηἀλλοτρία', 'ἀλλότριον']"
['ἁμαρτα/'],"['αμαρτάνω', 'αμαρτήσομαι', 'ἡμαρτον', 'ημάρτηκα', 'ημάρτημαι', 'ημαρτήθην']"
"['ἐξ/', 'ἁμαρτα/']",['ἁμάρτηματ']
['ἀμειβ/'],"['ἀμείβω', 'ἀμείψω', 'ἤμειψα', 'ἠμείφθην']"
['ἄμεινον/'],"['ἀμείνων', 'ἄμεινον']"
['ἀμυν/'],"['ἀμύνω', 'ἀμυνέω', 'ἤμυνα']"
['ἀμφισβητε/'],"['ἀμφισβητέω', 'ἀμφισβητήσω', 'ἠμφεσβήτησα']"
['ἀμφότερο/'],"['ἀμφότερος', 'ἀμφοτέρηἀμφότερα', 'ἀμφότερον']"
['ἀναγκαδ/'],"['ἀναγκάζω', 'ἀναγκάσω', 'ἠνάγκασα', 'ἠνάγκακα', 'ἠνάγκασμαι', 'ἠναγκάσθην']"
['ἀναισιμο/'],"['ἀναισιμόω', 'ἀναισίμωσα', 'ἀνῃσίμωκα', 'ἀνῃσίμωμαι', 'ἀναισιμώθην']"
['ἀνέρ/'],"['ἀνήρ', 'ἀνδρός']"
['ἀνδριάντ/'],"['ἀνδριάς', 'ἀνδριάντος']"
['ἄνεμο/'],"['ἄνεμος', 'ἀνέμου']"
['νηνεμία/'],"['νηνεμίηνηνεμία', 'νηνεμίηςνηνεμίας']"
['ἄνθρωπο/'],"['ἄνθρωπος', 'ἀνθρώπου']"
['ἀνόσιο/'],"['ἀνόσιος', 'ἀνόσιον']"
['ἀντίο/'],"['ἀντίος', 'ἀντίηἀντία', 'ἀντίον']"
['ἄξιο/'],"['ἄξιος', 'ἀξίηἀξία', 'ἄξιον']"
['ἀξιο/'],"['ἀξιόω', 'ἀξιώσω', 'ἠξίωσα', 'ἠξίωκα', 'ἠξίωμαι', 'ἠξιώθην']"
['ἀπειλε/'],"['ἀπειλέω', 'ἀπειλέω', 'ἠπείλησα', 'ἀπείλημαι', 'ἠπειλήθην']"
['ἄργυρο/'],"['ἄργυρος', 'ἀργόρου']"
['ἀργύριο/'],"['ἀργύριον', 'ἀργυρίου']"
['ἀρε/'],"['αρέσκω', 'αρέσω', 'ἠρεσα', 'ηρέσθην']"
['ἀρετά/'],"['ἀρετή', 'ἀρετῆς']"
['ἀριθμό/'],"['ἀριθμός', 'ἀριθμοῦ']"
['ἀναρίθμητο/'],"['ἀναρίθμητος', 'ἀναρίθμητον']"
['ἄριστο/'],"['ἄριστος', 'ἀρίστη', 'ἄριστον']"
['ἀριστευ/'],['ἀριστεύω']
['ἀριστοποιε/'],['ἀριστοποιέω']
['ἀρκε/'],"['αρκέω', 'αρκέσω', 'ἠρκεσα']"
['ἁρμοδ/'],"['ἁρμόζωἁρμόττω', 'ἁρμόσω', 'ἥρμοσα', 'ἥρμοκα', 'ἥρμοσμαι', 'ἡρμόσθην']"
['ἁρπαγ/'],"['ἁρπάζω', 'ἁρπάσομαι', 'ἥρπασα', 'ἥρπακα', 'ἥρπασμαι', 'ἡρπάσθην']"
['ἀρχ/'],"['ἄρχω', 'ἄρξω', 'ἦρξα', 'ἦρχα', 'ἦργμαι', 'ἄρχθην']"
['ἀρχά/'],"['ἀρχή', 'ἀρχῆς']"
['ἀρχηγετε/'],['ἀρχηγετέω']
['μοναρχε/'],"['μοναρχέω', 'μοναρχήσω']"
['πολέμαρχο/'],"['πολέμαρχος', 'πολεμάρχου']"
['ἀσεβε/'],"['ἀσεβής', 'ἀσεβές']"
['ἀσινέσ/'],"['ἀσινής', 'ἀσινές']"
['ἀσκό/'],"['ἀσκός', 'ἀσκοῦ']"
['ἀσφαλέσ/'],"['ἀσφαλής', 'ἀσφαλές']"
['ἀσφάλεια/'],"['ἀσφαλείηἀσφάλεια', 'ἀσφαλείηςἀσφαλείας']"
['ἀτε/'],['ἀτέω']
['ἀτρεκέσ/'],"['ἀτρεκής', 'ἀτρεκές']"
['αὐλά/'],"['αὐλή', 'αὐλῆς']"
['αὔλειο/'],"['αὔλειος', 'αὔλεια', 'αὔλειον']"
"['μέτ/', 'αυλο/']","['μέταυλος', 'μέταυλον']"
['αὐλών/'],"['αὐλών', 'αὐλῶνος']"
['ἑαυτό/'],['ἑωυτό']
['ἑωυτό/'],"['ἑωυτοῦἑαυτοῦ', 'αὑτοῦ', 'ἑωυτῆςἑαυτῆς', 'αὑτῆς', 'ἑωυτοῦἑαυτοῦ', 'αὑτοῦ']"
['αυχέν/'],"['αὐχήν', 'αὐχένος']"
['ἁφ/'],"['ἅπτω', 'ἅψω', 'ἧψα', 'ἧμμαι', 'ἥφθην']"
['ἁφά/'],"['ἁφή', 'ἁφῆς']"
['ἄφθονο/'],"['ἄφθονος', 'ἄφθονον']"
['βα/'],"['βαίνω', 'βήσομαι', 'ἔβην', 'βέβηκα', 'βέβαμαι', 'ἐβάθην']"
['ἀναβαθμό/'],"['ἀναβαθμός', 'ἀναβαθμοῦ']"
['βαδιδ/'],"['βαδίζω', 'βαδίσομαιβαδιέομαι', 'ἐβάδισα', 'βεβάδικα']"
['βάσι/'],"['βάσις', 'βάσιοςβάσεως']"
['εὐβάστακτο/'],"['εὐβάστακτος', 'εὐβάστακτον']"
